t x v EK
0.00000 3.00000 9.00000 40.50000
0.01000 3.09000 9.00000 40.50000
0.02000 3.18000 9.00000 40.50000
0.03000 3.27000 9.00000 40.50000
0.04000 3.36000 9.00000 40.50000
0.05000 3.45000 9.00000 40.50000
0.06000 3.54000 9.00000 40.50000
0.07000 3.63000 9.00000 40.50000
0.08000 3.72000 9.00000 40.50000
0.09000 3.81000 9.00000 40.50000
0.10000 3.90000 9.00000 40.50000
0.11000 3.99000 9.00000 40.50000
0.12000 4.08000 9.00000 40.50000
0.13000 4.17000 9.00000 40.50000
0.14000 4.26000 9.00000 40.50000
0.15000 4.35000 9.00000 40.50000
0.16000 4.44000 9.00000 40.50000
0.17000 4.53000 9.00000 40.50000
0.18000 4.62000 9.00000 40.50000
0.19000 4.71000 9.00000 40.50000
0.20000 4.80000 9.00000 40.50000
0.21000 4.89000 9.00000 40.50000
0.22000 4.98000 9.00000 40.50000
0.23000 5.07000 9.00000 40.50000
0.24000 5.16000 9.00000 40.50000
0.25000 5.25000 9.00000 40.50000
0.26000 5.34000 9.00000 40.50000
0.27000 5.43000 9.00000 40.50000
0.28000 5.52000 9.00000 40.50000
0.29000 5.61000 9.00000 40.50000
0.30000 5.70000 9.00000 40.50000
0.31000 5.79000 9.00000 40.50000
0.32000 5.88000 9.00000 40.50000
0.33000 5.97000 9.00000 40.50000
0.34000 6.06000 9.00000 40.50000
0.35000 6.15000 9.00000 40.50000
0.36000 6.24000 9.00000 40.50000
0.37000 6.33000 9.00000 40.50000
0.38000 6.42000 9.00000 40.50000
0.39000 6.51000 9.00000 40.50000
0.40000 6.60000 9.00000 40.50000
0.41000 6.69000 9.00000 40.50000
0.42000 6.78000 9.00000 40.50000
0.43000 6.87000 9.00000 40.50000
0.44000 6.96000 9.00000 40.50000
0.45000 7.05000 9.00000 40.50000
0.46000 7.14000 9.00000 40.50000
0.47000 7.23000 9.00000 40.50000
0.48000 7.32000 9.00000 40.50000
0.49000 7.41000 9.00000 40.50000
0.50000 7.50000 9.00000 40.50000
0.51000 7.59000 9.00000 40.50000
0.52000 7.68000 9.00000 40.50000
0.53000 7.77000 9.00000 40.50000
0.54000 7.86000 9.00000 40.50000
0.55000 7.95000 9.00000 40.50000
0.56000 8.04000 9.00000 40.50000
0.57000 8.13000 9.00000 40.50000
0.58000 8.22000 9.00000 40.50000
0.59000 8.31000 9.00000 40.50000
0.60000 8.40000 9.00000 40.50000
0.61000 8.49000 9.00000 40.50000
0.62000 8.58000 9.00000 40.50000
0.63000 8.67000 9.00000 40.50000
0.64000 8.76000 9.00000 40.50000
0.65000 8.85000 9.00000 40.50000
0.66000 8.94000 9.00000 40.50000
0.67000 9.03000 9.00000 40.50000
0.68000 9.12000 9.00000 40.50000
0.69000 9.21000 9.00000 40.50000
0.70000 9.30000 9.00000 40.50000
0.71000 9.39000 9.00000 40.50000
0.72000 9.48000 9.00000 40.50000
0.73000 9.57000 9.00000 40.50000
0.74000 9.66000 9.00000 40.50000
0.75000 9.75000 9.00000 40.50000
0.76000 9.84000 9.00000 40.50000
0.77000 9.93000 9.00000 40.50000
0.78000 9.98000 -1.80000 1.62000
0.79000 9.96200 -1.80000 1.62000
0.80000 9.94400 -1.80000 1.62000
0.81000 9.92600 -1.80000 1.62000
0.82000 9.90800 -1.80000 1.62000
0.83000 9.89000 -1.80000 1.62000
0.84000 9.87200 -1.80000 1.62000
0.85000 9.85400 -1.80000 1.62000
0.86000 9.83600 -1.80000 1.62000
0.87000 9.81800 -1.80000 1.62000
0.88000 9.80000 -1.80000 1.62000
0.89000 9.78200 -1.80000 1.62000
0.90000 9.76400 -1.80000 1.62000
0.91000 9.74600 -1.80000 1.62000
0.92000 9.72800 -1.80000 1.62000
0.93000 9.71000 -1.80000 1.62000
0.94000 9.69200 -1.80000 1.62000
0.95000 9.67400 -1.80000 1.62000
0.96000 9.65600 -1.80000 1.62000
0.97000 9.63800 -1.80000 1.62000
0.98000 9.62000 -1.80000 1.62000
0.99000 9.60200 -1.80000 1.62000
1.00000 9.58400 -1.80000 1.62000
1.01000 9.56600 -1.80000 1.62000
1.02000 9.54800 -1.80000 1.62000
1.03000 9.53000 -1.80000 1.62000
1.04000 9.51200 -1.80000 1.62000
1.05000 9.49400 -1.80000 1.62000
1.06000 9.47600 -1.80000 1.62000
1.07000 9.45800 -1.80000 1.62000
1.08000 9.44000 -1.80000 1.62000
1.09000 9.42200 -1.80000 1.62000
1.10000 9.40400 -1.80000 1.62000
1.11000 9.38600 -1.80000 1.62000
1.12000 9.36800 -1.80000 1.62000
1.13000 9.35000 -1.80000 1.62000
1.14000 9.33200 -1.80000 1.62000
1.15000 9.31400 -1.80000 1.62000
1.16000 9.29600 -1.80000 1.62000
1.17000 9.27800 -1.80000 1.62000
1.18000 9.26000 -1.80000 1.62000
1.19000 9.24200 -1.80000 1.62000
1.20000 9.22400 -1.80000 1.62000
1.21000 9.20600 -1.80000 1.62000
1.22000 9.18800 -1.80000 1.62000
1.23000 9.17000 -1.80000 1.62000
1.24000 9.15200 -1.80000 1.62000
1.25000 9.13400 -1.80000 1.62000
1.26000 9.11600 -1.80000 1.62000
1.27000 9.09800 -1.80000 1.62000
1.28000 9.08000 -1.80000 1.62000
1.29000 9.06200 -1.80000 1.62000
1.30000 9.04400 -1.80000 1.62000
1.31000 9.02600 -1.80000 1.62000
1.32000 9.00800 -1.80000 1.62000
1.33000 8.99000 -1.80000 1.62000
1.34000 8.97200 -1.80000 1.62000
