t x y z
0 5 0 0
0.01 4.89393 0.05 0.106066
0.02 4.78787 0.1 0.211151
0.03 4.6818 0.15 0.315255
0.04 4.57574 0.2 0.418378
0.05 4.46967 0.25 0.52052
0.06 4.3636 0.3 0.621681
0.07 4.25754 0.35 0.721861
0.08 4.15147 0.4 0.82106
0.09 4.04541 0.45 0.919278
0.1 3.93934 0.5 1.01652
0.11 3.83327 0.55 1.11277
0.12 3.72721 0.6 1.20805
0.13 3.62114 0.65 1.30234
0.14 3.51508 0.7 1.39565
0.15 3.40901 0.75 1.48799
0.16 3.30294 0.8 1.57934
0.17 3.19688 0.85 1.66971
0.18 3.09081 0.9 1.7591
0.19 2.98475 0.95 1.8475
0.2 2.87868 1 1.93493
0.21 2.77261 1.05 2.02138
0.22 2.66655 1.1 2.10684
0.23 2.56048 1.15 2.19133
0.24 2.45442 1.2 2.27483
0.25 2.34835 1.25 2.35735
0.26 2.24228 1.3 2.43889
0.27 2.13622 1.35 2.51945
0.28 2.03015 1.4 2.59903
0.29 1.92409 1.45 2.67763
0.3 1.81802 1.5 2.75525
0.31 1.71195 1.55 2.83188
0.32 1.60589 1.6 2.90754
0.33 1.49982 1.65 2.98221
0.34 1.39376 1.7 3.0559
0.35 1.28769 1.75 3.12862
0.36 1.18162 1.8 3.20035
0.37 1.07556 1.85 3.2711
0.38 0.969491 1.9 3.34087
0.39 0.863425 1.95 3.40965
0.4 0.757359 2 3.47746
0.41 0.651293 2.05 3.54429
0.42 0.545227 2.1 3.61013
0.43 0.439161 2.15 3.675
0.44 0.333095 2.2 3.73888
0.45 0.227029 2.25 3.80178
0.46 0.120963 2.3 3.8637
0.47 0.0148972 2.35 3.92464
0.48 -0.0911688 2.4 3.9846
0.49 -0.197235 2.45 4.04358
0.5 -0.303301 2.5 4.10158
0.51 -0.409367 2.55 4.15859
0.52 -0.515433 2.6 4.21463
0.53 -0.621499 2.65 4.26968
0.54 -0.727565 2.7 4.32375
0.55 -0.833631 2.75 4.37685
0.56 -0.939697 2.8 4.42896
0.57 -1.04576 2.85 4.48009
0.58 -1.15183 2.9 4.53024
0.59 -1.2579 2.95 4.5794
0.6 -1.36396 3 4.62759
0.61 -1.47003 3.05 4.6748
0.62 -1.57609 3.1 4.72102
0.63 -1.68216 3.15 4.76627
0.64 -1.78823 3.2 4.81053
0.65 -1.89429 3.25 4.85381
0.66 -2.00036 3.3 4.89611
0.67 -2.10642 3.35 4.93743
0.68 -2.21249 3.4 4.97777
0.69 -2.31856 3.45 5.01713
0.7 -2.42462 3.5 5.05551
0.71 -2.53069 3.55 5.0929
0.72 -2.63675 3.6 5.12932
0.73 -2.74282 3.65 5.16475
0.74 -2.84889 3.7 5.1992
0.75 -2.95495 3.75 5.23268
0.76 -3.06102 3.8 5.26517
0.77 -3.16708 3.85 5.29668
0.78 -3.27315 3.9 5.32721
0.79 -3.37922 3.95 5.35675
0.8 -3.48528 4 5.38532
0.81 -3.59135 4.05 5.41291
0.82 -3.69741 4.1 5.43951
0.83 -3.80348 4.15 5.46514
0.84 -3.90955 4.2 5.48978
0.85 -4.01561 4.25 5.51344
0.86 -4.12168 4.3 5.53612
0.87 -4.22774 4.35 5.55782
0.88 -4.33381 4.4 5.57854
0.89 -4.43988 4.45 5.59828
0.9 -4.54594 4.5 5.61704
0.91 -4.65201 4.55 5.63481
0.92 -4.75807 4.6 5.65161
0.93 -4.86414 4.65 5.66742
0.94 -4.97021 4.7 5.68225
0.95 -5.07627 4.75 5.69611
0.96 -5.18234 4.8 5.70898
0.97 -5.2884 4.85 5.72087
0.98 -5.39447 4.9 5.73178
0.99 -5.50054 4.95 5.7417
1 -5.6066 5 5.75065
1.01 -5.71267 5.05 5.75862
1.02 -5.81873 5.1 5.7656
1.03 -5.9248 5.15 5.77161
1.04 -6.03087 5.2 5.77663
1.05 -6.13693 5.25 5.78067
1.06 -6.243 5.3 5.78373
1.07 -6.34906 5.35 5.78581
1.08 -6.45513 5.4 5.78691
1.09 -6.5612 5.45 5.78703
1.1 -6.66726 5.5 5.78617
1.11 -6.77333 5.55 5.78432
1.12 -6.87939 5.6 5.7815
1.13 -6.98546 5.65 5.77769
1.14 -7.09153 5.7 5.7729
1.15 -7.19759 5.75 5.76714
1.16 -7.30366 5.8 5.76039
1.17 -7.40972 5.85 5.75266
1.18 -7.51579 5.9 5.74395
1.19 -7.62186 5.95 5.73426
1.2 -7.72792 6 5.72358
1.21 -7.83399 6.05 5.71193
1.22 -7.94005 6.1 5.69929
1.23 -8.04612 6.15 5.68568
1.24 -8.15219 6.2 5.67108
1.25 -8.25825 6.25 5.6555
1.26 -8.36432 6.3 5.63894
1.27 -8.47038 6.35 5.6214
1.28 -8.57645 6.4 5.60288
1.29 -8.68252 6.45 5.58338
1.3 -8.78858 6.5 5.5629
1.31 -8.89465 6.55 5.54143
1.32 -9.00071 6.6 5.51899
1.33 -9.10678 6.65 5.49556
1.34 -9.21285 6.7 5.47116
1.35 -9.31891 6.75 5.44577
1.36 -9.42498 6.8 5.4194
1.37 -9.53104 6.85 5.39205
1.38 -9.63711 6.9 5.36372
1.39 -9.74318 6.95 5.33441
1.4 -9.84924 7 5.30411
1.41 -9.95531 7.05 5.27284
1.42 -10.0614 7.1 5.24058
1.43 -10.1674 7.15 5.20735
1.44 -10.2735 7.2 5.17313
1.45 -10.3796 7.25 5.13793
1.46 -10.4856 7.3 5.10175
1.47 -10.5917 7.35 5.06459
1.48 -10.6978 7.4 5.02645
1.49 -10.8038 7.45 4.98733
1.5 -10.9099 7.5 4.94723
1.51 -11.016 7.55 4.90614
1.52 -11.122 7.6 4.86408
1.53 -11.2281 7.65 4.82103
1.54 -11.3342 7.7 4.77701
1.55 -11.4402 7.75 4.732
1.56 -11.5463 7.8 4.68601
1.57 -11.6524 7.85 4.63904
1.58 -11.7584 7.9 4.59109
1.59 -11.8645 7.95 4.54216
1.6 -11.9706 8 4.49224
1.61 -12.0766 8.05 4.44135
1.62 -12.1827 8.1 4.38947
1.63 -12.2888 8.15 4.33662
1.64 -12.3948 8.2 4.28278
1.65 -12.5009 8.25 4.22796
1.66 -12.607 8.3 4.17216
