t x y z
0 5 0 0
0.01 4.89443 0.00212132 0.105085
0.02 4.7894 0.00635417 0.209189
0.03 4.68493 0.0126883 0.312312
0.04 4.58105 0.0211132 0.414454
0.05 4.47781 0.0316177 0.515615
0.06 4.37521 0.0441903 0.615795
0.07 4.27331 0.0588191 0.714994
0.08 4.17213 0.0754919 0.813212
0.09 4.0717 0.0941958 0.910449
0.1 3.97205 0.114918 1.00671
0.11 3.87321 0.137644 1.10198
0.12 3.77521 0.162361 1.19627
0.13 3.67809 0.189055 1.28959
0.14 3.58187 0.217709 1.38192
0.15 3.48657 0.24831 1.47327
0.16 3.39224 0.280841 1.56364
0.17 3.2989 0.315288 1.65303
0.18 3.20658 0.351632 1.74144
0.19 3.1153 0.389858 1.82886
0.2 3.02511 0.429949 1.91531
0.21 2.93601 0.471887 2.00078
0.22 2.84805 0.515653 2.08526
0.23 2.76125 0.561231 2.16876
0.24 2.67563 0.608601 2.25128
0.25 2.59123 0.657743 2.33283
0.26 2.50808 0.70864 2.41339
0.27 2.42619 0.761271 2.49296
0.28 2.34559 0.815615 2.57156
0.29 2.26632 0.871653 2.64918
0.3 2.1884 0.929364 2.72582
0.31 2.11185 0.988726 2.80147
0.32 2.03669 1.04972 2.87614
0.33 1.96296 1.11232 2.94984
0.34 1.89068 1.1765 3.02255
0.35 1.81987 1.24225 3.09428
0.36 1.75056 1.30954 3.16503
0.37 1.68277 1.37835 3.2348
0.38 1.61652 1.44865 3.30359
0.39 1.55185 1.52042 3.37139
0.4 1.48876 1.59363 3.43822
0.41 1.42728 1.66827 3.50407
0.42 1.36744 1.7443 3.56893
0.43 1.30926 1.82171 3.63281
0.44 1.25276 1.90046 3.69571
0.45 1.19796 1.98053 3.75764
0.46 1.14487 2.06189 3.81858
0.47 1.09353 2.14452 3.87853
0.48 1.04396 2.2284 3.93751
0.49 0.99616 2.31349 3.99551
0.5 0.950166 2.39976 4.05253
0.51 0.905992 2.4872 4.10856
0.52 0.863657 2.57576 4.16361
0.53 0.82318 2.66543 4.21769
0.54 0.784579 2.75618 4.27078
0.55 0.747871 2.84798 4.32289
0.56 0.713074 2.94079 4.37402
0.57 0.680204 3.0346 4.42417
0.58 0.649279 3.12936 4.47334
0.59 0.620313 3.22506 4.52153
0.6 0.593324 3.32166 4.56873
0.61 0.568326 3.41913 4.61496
0.62 0.545334 3.51744 4.6602
0.63 0.524363 3.61656 4.70446
0.64 0.505427 3.71647 4.74775
0.65 0.48854 3.81712 4.79005
0.66 0.473714 3.9185 4.83137
0.67 0.460964 4.02056 4.87171
0.68 0.4503 4.12328 4.91106
0.69 0.441737 4.22662 4.94944
0.7 0.435284 4.33056 4.98684
0.71 0.430953 4.43506 5.02325
0.72 0.428756 4.5401 5.05869
0.73 0.428702 4.64563 5.09314
0.74 0.430802 4.75162 5.12661
0.75 0.435065 4.85805 5.1591
0.76 0.441499 4.96488 5.19061
0.77 0.450115 5.07208 5.22114
0.78 0.460919 5.17961 5.25069
0.79 0.47392 5.28744 5.27926
0.8 0.489125 5.39554 5.30684
0.81 0.506542 5.50388 5.33345
0.82 0.526175 5.61242 5.35907
0.83 0.548032 5.72113 5.38371
0.84 0.572118 5.82997 5.40738
0.85 0.598438 5.93892 5.43006
0.86 0.626997 6.04793 5.45176
0.87 0.657799 6.15698 5.47248
0.88 0.690847 6.26602 5.49221
0.89 0.726145 6.37503 5.51097
0.9 0.763697 6.48397 5.52875
0.91 0.803503 6.59281 5.54554
0.92 0.845567 6.70152 5.56136
0.93 0.889889 6.81005 5.57619
