t x y
0 3 2
0.01 3.02 2.015
0.02 3.04 2.03
0.03 3.06 2.045
0.04 3.08 2.06
0.05 3.1 2.075
0.06 3.12 2.09
0.07 3.14 2.105
0.08 3.16 2.12
0.09 3.18 2.135
0.1 3.2 2.15
0.11 3.22 2.165
0.12 3.24 2.18
0.13 3.26 2.195
0.14 3.28 2.21
0.15 3.3 2.225
0.16 3.32 2.24
0.17 3.34 2.255
0.18 3.36 2.27
0.19 3.38 2.285
0.2 3.4 2.3
0.21 3.42 2.315
0.22 3.44 2.33
0.23 3.46 2.345
0.24 3.48 2.36
0.25 3.5 2.375
0.26 3.52 2.39
0.27 3.54 2.405
0.28 3.56 2.42
0.29 3.58 2.435
0.3 3.6 2.45
0.31 3.62 2.465
0.32 3.64 2.48
0.33 3.66 2.495
0.34 3.68 2.51
0.35 3.7 2.525
0.36 3.72 2.54
0.37 3.74 2.555
0.38 3.76 2.57
0.39 3.78 2.585
0.4 3.8 2.6
0.41 3.82 2.615
0.42 3.84 2.63
0.43 3.86 2.645
0.44 3.88 2.66
0.45 3.9 2.675
0.46 3.92 2.69
0.47 3.94 2.705
0.48 3.96 2.72
0.49 3.98 2.735
0.5 4 2.75
0.51 4.02 2.765
0.52 4.04 2.78
0.53 4.06 2.795
0.54 4.08 2.81
0.55 4.1 2.825
0.56 4.12 2.84
0.57 4.14 2.855
0.58 4.16 2.87
0.59 4.18 2.885
0.6 4.2 2.9
0.61 4.22 2.915
0.62 4.24 2.93
0.63 4.26 2.945
0.64 4.28 2.96
0.65 4.3 2.975
0.66 4.32 2.99
0.67 4.34 3.005
0.68 4.36 3.02
0.69 4.38 3.035
0.7 4.4 3.05
0.71 4.42 3.065
0.72 4.44 3.08
0.73 4.46 3.095
0.74 4.48 3.11
0.75 4.5 3.125
0.76 4.52 3.14
0.77 4.54 3.155
0.78 4.56 3.17
0.79 4.58 3.185
0.8 4.6 3.2
0.81 4.62 3.215
0.82 4.64 3.23
0.83 4.66 3.245
0.84 4.68 3.26
0.85 4.7 3.275
0.86 4.72 3.29
0.87 4.74 3.305
0.88 4.76 3.32
0.89 4.78 3.335
0.9 4.8 3.35
0.91 4.82 3.365
0.92 4.84 3.38
0.93 4.86 3.395
0.94 4.88 3.41
0.95 4.9 3.425
0.96 4.92 3.44
0.97 4.94 3.455
0.98 4.96 3.47
0.99 4.98 3.485
1 5 3.5
1.01 5.02 3.515
1.02 5.04 3.53
1.03 5.06 3.545
1.04 5.08 3.56
1.05 5.1 3.575
1.06 5.12 3.59
1.07 5.14 3.605
1.08 5.16 3.62
1.09 5.18 3.635
1.1 5.2 3.65
1.11 5.22 3.665
1.12 5.24 3.68
1.13 5.26 3.695
1.14 5.28 3.71
1.15 5.3 3.725
1.16 5.32 3.74
1.17 5.34 3.755
1.18 5.36 3.77
1.19 5.38 3.785
1.2 5.4 3.8
1.21 5.42 3.815
1.22 5.44 3.83
1.23 5.46 3.845
1.24 5.48 3.86
1.25 5.5 3.875
1.26 5.52 3.89
